id,nombre,categoria,precio,cantidad,fecha
1,Producto_1,Deportes,399.7,28,2023-01-01
2,Producto_2,Ropa,478.7,22,2023-01-02
3,Producto_3,Electrónica,856.0,16,2023-01-03
4,Producto_4,Deportes,346.6,13,2023-01-04
5,Producto_5,Deportes,870.95,62,2023-01-05
6,Producto_6,Ropa,97.25,43,2023-01-06
7,Producto_7,Electrónica,779.03,87,2023-01-07
8,Producto_8,Electrónica,849.07,78,2023-01-08
9,Producto_9,Deportes,190.0,32,2023-01-09
10,Producto_10,Hogar,436.04,67,2023-01-10
11,Producto_11,Deportes,173.84,91,2023-01-11
12,Producto_12,Deportes,709.54,83,2023-01-12
13,Producto_13,Deportes,539.99,86,2023-01-13
14,Producto_14,Deportes,638.97,57,2023-01-14
15,Producto_15,Ropa,204.52,65,2023-01-15
16,Producto_16,Electrónica,219.63,69,2023-01-16
17,Producto_17,Ropa,51.08,49,2023-01-17
18,Producto_18,Ropa,328.85,33,2023-01-18
19,Producto_19,Ropa,564.15,19,2023-01-19
20,Producto_20,Deportes,859.36,36,2023-01-20
21,Producto_21,Hogar,670.26,70,2023-01-21
22,Producto_22,Electrónica,441.04,15,2023-01-22
23,Producto_23,Hogar,953.59,97,2023-01-23
24,Producto_24,Ropa,722.05,24,2023-01-24
25,Producto_25,Ropa,930.86,27,2023-01-25
26,Producto_26,Hogar,532.31,49,2023-01-26
27,Producto_27,Hogar,266.32,75,2023-01-27
28,Producto_28,Hogar,62.3,23,2023-01-28
29,Producto_29,Ropa,728.82,33,2023-01-29
30,Producto_30,Ropa,130.09,41,2023-01-30
31,Producto_31,Electrónica,309.75,56,2023-01-31
32,Producto_32,Electrónica,537.15,29,2023-02-01
33,Producto_33,Ropa,568.77,31,2023-02-02
34,Producto_34,Hogar,604.58,65,2023-02-03
35,Producto_35,Hogar,174.59,98,2023-02-04
36,Producto_36,Electrónica,385.94,18,2023-02-05
37,Producto_37,Ropa,621.02,82,2023-02-06
38,Producto_38,Electrónica,970.12,6,2023-02-07
39,Producto_39,Electrónica,730.35,52,2023-02-08
40,Producto_40,Deportes,923.38,40,2023-02-09
41,Producto_41,Deportes,764.59,65,2023-02-10
42,Producto_42,Deportes,595.8,42,2023-02-11
43,Producto_43,Hogar,200.1,94,2023-02-12
44,Producto_44,Ropa,670.02,68,2023-02-13
45,Producto_45,Ropa,627.15,32,2023-02-14
46,Producto_46,Ropa,606.44,10,2023-02-15
47,Producto_47,Ropa,494.89,69,2023-02-16
48,Producto_48,Deportes,533.37,9,2023-02-17
49,Producto_49,Hogar,341.1,69,2023-02-18
50,Producto_50,Hogar,524.12,61,2023-02-19
51,Producto_51,Deportes,205.58,11,2023-02-20
52,Producto_52,Hogar,807.12,99,2023-02-21
53,Producto_53,Deportes,193.92,91,2023-02-22
54,Producto_54,Ropa,94.12,68,2023-02-23
