Fecha,Producto,Vendedor,Region,Unidades,Ingresos,Costo,Utilidad,ID_Venta,Año_Mes
2023-01-01,Laptop,Carlos,Este,3,2699.97,1588.51,1111.46,1,2023-01
2023-01-01,Mouse,Carlos,Oeste,6,179.94,96.04,83.9,2,2023-01
2023-01-01,Teclado,María,Norte,5,399.95,214.27,185.68,3,2023-01
2023-01-02,Laptop,María,Este,5,4499.95,2125.7,2374.25,4,2023-01
2023-01-02,Mouse,Carlos,Este,1,29.99,15.56,14.43,5,2023-01
2023-01-02,Teclado,Luis,Oeste,17,1359.83,546.69,813.14,6,2023-01
2023-01-03,Laptop,Ana,Norte,19,17099.81,9015.35,8084.46,7,2023-01
2023-01-03,Mouse,Luis,Norte,14,419.86,244.63,175.23,8,2023-01
2023-01-03,Teclado,Pedro,Este,12,959.88,501.55,458.33,9,2023-01
2023-01-04,Laptop,María,Sur,10,8999.9,5172.6,3827.3,10,2023-01
2023-01-04,Mouse,Ana,Este,18,539.82,294.09,245.73,11,2023-01
2023-01-04,Teclado,Ana,Este,11,879.89,373.17,506.72,12,2023-01
2023-01-05,Laptop,Pedro,Este,2,1799.98,1044.87,755.11,13,2023-01
2023-01-05,Mouse,Pedro,Este,18,539.82,223.1,316.72,14,2023-01
2023-01-05,Teclado,Carlos,Oeste,7,559.93,283.77,276.16,15,2023-01
2023-01-06,Laptop,María,Norte,15,13499.85,5783.71,7716.14,16,2023-01
2023-01-06,Mouse,María,Oeste,11,329.89,132.73,197.16,17,2023-01
2023-01-06,Teclado,Luis,Oeste,18,1439.82,697.46,742.36,18,2023-01
2023-01-07,Laptop,Carlos,Oeste,12,10799.88,4957.23,5842.65,19,2023-01
2023-01-07,Mouse,Carlos,Este,6,179.94,89.47,90.47,20,2023-01
2023-01-07,Teclado,Carlos,Sur,13,1039.87,535.99,503.88,21,2023-01
2023-01-08,Laptop,Carlos,Norte,16,14399.84,5885.9,8513.94,22,2023-01
2023-01-08,Mouse,María,Sur,18,539.82,229.21,310.61,23,2023-01
2023-01-08,Teclado,María,Oeste,10,799.9,409.33,390.57,24,2023-01
2023-01-09,Laptop,Carlos,Oeste,8,7199.92,3374.12,3825.8,25,2023-01
2023-01-09,Mouse,Luis,Sur,18,539.82,294.65,245.17,26,2023-01
2023-01-09,Teclado,Ana,Sur,1,79.99,42.43,37.56,27,2023-01
2023-01-10,Laptop,Ana,Sur,8,7199.92,4097.62,3102.3,28,2023-01
2023-01-10,Mouse,Luis,Oeste,6,179.94,96.9,83.04,29,2023-01
2023-01-10,Teclado,Carlos,Oeste,5,399.95,194.37,205.58,30,2023-01
2023-01-11,Laptop,María,Norte,15,13499.85,7216.93,6282.92,31,2023-01
2023-01-11,Mouse,Ana,Norte,15,449.85,204.72,245.13,32,2023-01
2023-01-11,Teclado,Pedro,Oeste,2,159.98,73.79,86.19,33,2023-01
2023-01-12,Laptop,Pedro,Sur,1,899.99,502.01,397.98,34,2023-01
2023-01-12,Mouse,Luis,Sur,11,329.89,161.41,168.48,35,2023-01
2023-01-12,Teclado,Carlos,Norte,10,799.9,447.68,352.22,36,2023-01
2023-01-13,Laptop,Ana,Oeste,18,16199.82,9144.55,7055.27,37,2023-01
