Año_Mes,Num_Transacciones,Total_Unidades,Total_Ingresos,Total_Costo,Total_Utilidad,Margen_%,Ticket_Promedio
2023-01,93,961,293510.39,147047.29,146463.1,49.9,3156.03
2023-02,84,856,248231.44,128685.25,119546.19,48.16,2955.14
2023-03,93,827,286471.73,142511.41,143960.32,50.25,3080.34
2023-04,90,820,287431.8,138502.04,148929.76,51.81,3193.69
2023-05,93,904,304130.96,148081.44,156049.52,51.31,3270.23
2023-06,90,999,288450.01,145051.78,143398.23,49.71,3205.0
2023-07,93,928,297940.72,147367.88,150572.84,50.54,3203.66
2023-08,93,980,341830.2,168666.41,173163.79,50.66,3675.59
2023-09,90,874,293951.26,145929.04,148022.22,50.36,3266.13
2023-10,93,829,275621.71,132010.54,143611.17,52.1,2963.67
2023-11,90,917,309460.83,154576.21,154884.62,50.05,3438.45
2023-12,93,994,328990.06,163671.57,165318.49,50.25,3537.53
