Fecha,Año,Mes,Nombre_Mes,Trimestre,Dia_Semana,Nombre_Dia,Semana_Año,Es_Fin_Semana
2023-01-01,2023,1,January,Q1,7,Sunday,52,1
2023-01-02,2023,1,January,Q1,1,Monday,1,0
2023-01-03,2023,1,January,Q1,2,Tuesday,1,0
2023-01-04,2023,1,January,Q1,3,Wednesday,1,0
2023-01-05,2023,1,January,Q1,4,Thursday,1,0
2023-01-06,2023,1,January,Q1,5,Friday,1,0
2023-01-07,2023,1,January,Q1,6,Saturday,1,1
2023-01-08,2023,1,January,Q1,7,Sunday,1,1
2023-01-09,2023,1,January,Q1,1,Monday,2,0
2023-01-10,2023,1,January,Q1,2,Tuesday,2,0
2023-01-11,2023,1,January,Q1,3,Wednesday,2,0
2023-01-12,2023,1,January,Q1,4,Thursday,2,0
2023-01-13,2023,1,January,Q1,5,Friday,2,0
2023-01-14,2023,1,January,Q1,6,Saturday,2,1
2023-01-15,2023,1,January,Q1,7,Sunday,2,1
2023-01-16,2023,1,January,Q1,1,Monday,3,0
2023-01-17,2023,1,January,Q1,2,Tuesday,3,0
2023-01-18,2023,1,January,Q1,3,Wednesday,3,0
2023-01-19,2023,1,January,Q1,4,Thursday,3,0
2023-01-20,2023,1,January,Q1,5,Friday,3,0
2023-01-21,2023,1,January,Q1,6,Saturday,3,1
2023-01-22,2023,1,January,Q1,7,Sunday,3,1
2023-01-23,2023,1,January,Q1,1,Monday,4,0
2023-01-24,2023,1,January,Q1,2,Tuesday,4,0
2023-01-25,2023,1,January,Q1,3,Wednesday,4,0
2023-01-26,2023,1,January,Q1,4,Thursday,4,0
2023-01-27,2023,1,January,Q1,5,Friday,4,0
2023-01-28,2023,1,January,Q1,6,Saturday,4,1
2023-01-29,2023,1,January,Q1,7,Sunday,4,1
2023-01-30,2023,1,January,Q1,1,Monday,5,0
2023-01-31,2023,1,January,Q1,2,Tuesday,5,0
2023-02-01,2023,2,February,Q1,3,Wednesday,5,0
2023-02-02,2023,2,February,Q1,4,Thursday,5,0
2023-02-03,2023,2,February,Q1,5,Friday,5,0
2023-02-04,2023,2,February,Q1,6,Saturday,5,1
2023-02-05,2023,2,February,Q1,7,Sunday,5,1
2023-02-06,2023,2,February,Q1,1,Monday,6,0
2023-02-07,2023,2,February,Q1,2,Tuesday,6,0
2023-02-08,2023,2,February,Q1,3,Wednesday,6,0
2023-02-09,2023,2,February,Q1,4,Thursday,6,0
2023-02-10,2023,2,February,Q1,5,Friday,6,0
2023-02-11,2023,2,February,Q1,6,Saturday,6,1
2023-02-12,2023,2,February,Q1,7,Sunday,6,1
2023-02-13,2023,2,February,Q1,1,Monday,7,0
2023-02-14,2023,2,February,Q1,2,Tuesday,7,0
2023-02-15,2023,2,February,Q1,3,Wednesday,7,0
2023-02-16,2023,2,February,Q1,4,Thursday,7,0
2023-02-17,2023,2,February,Q1,5,Friday,7,0
2023-02-18,2023,2,February,Q1,6,Saturday,7,1
2023-02-19,2023,2,February,Q1,7,Sunday,7,1
2023-02-20,2023,2,February,Q1,1,Monday,8,0
2023-02-21,2023,2,February,Q1,2,Tuesday,8,0
2023-02-22,2023,2,February,Q1,3,Wednesday,8,0
2023-02-23,2023,2,February,Q1,4,Thursday,8,0
2023-02-24,2023,2,February,Q1,5,Friday,8,0
2023-02-25,2023,2,February,Q1,6,Saturday,8,1
2023-02-26,2023,2,February,Q1,7,Sunday,8,1
2023-02-27,2023,2,February,Q1,1,Monday,9,0
2023-02-28,2023,2,February,Q1,2,Tuesday,9,0
2023-03-01,2023,3,March,Q1,3,Wednesday,9,0
2023-03-02,2023,3,March,Q1,4,Thursday,9,0
2023-03-03,2023,3,March,Q1,5,Friday,9,0
2023-03-04,2023,3,March,Q1,6,Saturday,9,1
2023-03-05,2023,3,March,Q1,7,Sunday,9,1
2023-03-06,2023,3,March,Q1,1,Monday,10,0
2023-03-07,2023,3,March,Q1,2,Tuesday,10,0
2023-03-08,2023,3,March,Q1,3,Wednesday,10,0
2023-03-09,2023,3,March,Q1,4,Thursday,10,0
2023-03-10,2023,3,March,Q1,5,Friday,10,0
2023-03-11,2023,3,March,Q1,6,Saturday,10,1
2023-03-12,2023,3,March,Q1,7,Sunday,10,1
2023-03-13,2023,3,March,Q1,1,Monday,11,0
2023-03-14,2023,3,March,Q1,2,Tuesday,11,0
2023-03-15,2023,3,March,Q1,3,Wednesday,11,0
2023-03-16,2023,3,March,Q1,4,Thursday,11,0
2023-03-17,2023,3,March,Q1,5,Friday,11,0
2023-03-18,2023,3,March,Q1,6,Saturday,11,1
2023-03-19,2023,3,March,Q1,7,Sunday,11,1
2023-03-20,2023,3,March,Q1,1,Monday,12,0
2023-03-21,2023,3,March,Q1,2,Tuesday,12,0
2023-03-22,2023,3,March,Q1,3,Wednesday,12,0
2023-03-23,2023,3,March,Q1,4,Thursday,12,0
2023-03-24,2023,3,March,Q1,5,Friday,12,0
2023-03-25,2023,3,March,Q1,6,Saturday,12,1
2023-03-26,2023,3,March,Q1,7,Sunday,12,1
2023-03-27,2023,3,March,Q1,1,Monday,13,0
2023-03-28,2023,3,March,Q1,2,Tuesday,13,0
2023-03-29,2023,3,March,Q1,3,Wednesday,13,0
2023-03-30,2023,3,March,Q1,4,Thursday,13,0
2023-03-31,2023,3,March,Q1,5,Friday,13,0
2023-04-01,2023,4,April,Q2,6,Saturday,13,1
2023-04-02,2023,4,April,Q2,7,Sunday,13,1
2023-04-03,2023,4,April,Q2,1,Monday,14,0
2023-04-04,2023,4,April,Q2,2,Tuesday,14,0
2023-04-05,2023,4,April,Q2,3,Wednesday,14,0
2023-04-06,2023,4,April,Q2,4,Thursday,14,0
2023-04-07,2023,4,April,Q2,5,Friday,14,0
2023-04-08,2023,4,April,Q2,6,Saturday,14,1
2023-04-09,2023,4,April,Q2,7,Sunday,14,1
2023-04-10,2023,4,April,Q2,1,Monday,15,0
2023-04-11,2023,4,April,Q2,2,Tuesday,15,0
