Fecha,Producto,Categoria,Region,Vendedor,Unidades,Precio_Unitario,Ingresos,Costo,Utilidad,Mes,Trimestre,Año
2023-01-01,Laptop,Computadoras,Este,Carlos,3,899.99,2699.97,1588.51,1111.46,1,1,2023
2023-01-01,Mouse,Accesorios,Oeste,Carlos,6,29.99,179.94,96.04,83.9,1,1,2023
2023-01-01,Teclado,Accesorios,Norte,María,5,79.99,399.95,214.27,185.68,1,1,2023
2023-01-02,Laptop,Computadoras,Este,María,5,899.99,4499.95,2125.7,2374.25,1,1,2023
2023-01-02,Mouse,Accesorios,Este,Carlos,1,29.99,29.99,15.56,14.43,1,1,2023
2023-01-02,Teclado,Accesorios,Oeste,Luis,17,79.99,1359.83,546.69,813.14,1,1,2023
2023-01-03,Laptop,Computadoras,Norte,Ana,19,899.99,17099.81,9015.35,8084.46,1,1,2023
2023-01-03,Mouse,Accesorios,Norte,Luis,14,29.99,419.86,244.63,175.23,1,1,2023
2023-01-03,Teclado,Accesorios,Este,Pedro,12,79.99,959.88,501.55,458.33,1,1,2023
2023-01-04,Laptop,Computadoras,Sur,María,10,899.99,8999.9,5172.6,3827.3,1,1,2023
2023-01-04,Mouse,Accesorios,Este,Ana,18,29.99,539.82,294.09,245.73,1,1,2023
2023-01-04,Teclado,Accesorios,Este,Ana,11,79.99,879.89,373.17,506.72,1,1,2023
2023-01-05,Laptop,Computadoras,Este,Pedro,2,899.99,1799.98,1044.87,755.11,1,1,2023
2023-01-05,Mouse,Accesorios,Este,Pedro,18,29.99,539.82,223.1,316.72,1,1,2023
2023-01-05,Teclado,Accesorios,Oeste,Carlos,7,79.99,559.93,283.77,276.16,1,1,2023
2023-01-06,Laptop,Computadoras,Norte,María,15,899.99,13499.85,5783.71,7716.14,1,1,2023
2023-01-06,Mouse,Accesorios,Oeste,María,11,29.99,329.89,132.73,197.16,1,1,2023
2023-01-06,Teclado,Accesorios,Oeste,Luis,18,79.99,1439.82,697.46,742.36,1,1,2023
2023-01-07,Laptop,Computadoras,Oeste,Carlos,12,899.99,10799.88,4957.23,5842.65,1,1,2023
2023-01-07,Mouse,Accesorios,Este,Carlos,6,29.99,179.94,89.47,90.47,1,1,2023
2023-01-07,Teclado,Accesorios,Sur,Carlos,13,79.99,1039.87,535.99,503.88,1,1,2023
2023-01-08,Laptop,Computadoras,Norte,Carlos,16,899.99,14399.84,5885.9,8513.94,1,1,2023
2023-01-08,Mouse,Accesorios,Sur,María,18,29.99,539.82,229.21,310.61,1,1,2023
2023-01-08,Teclado,Accesorios,Oeste,María,10,79.99,799.9,409.33,390.57,1,1,2023
2023-01-09,Laptop,Computadoras,Oeste,Carlos,8,899.99,7199.92,3374.12,3825.8,1,1,2023
2023-01-09,Mouse,Accesorios,Sur,Luis,18,29.99,539.82,294.65,245.17,1,1,2023
2023-01-09,Teclado,Accesorios,Sur,Ana,1,79.99,79.99,42.43,37.56,1,1,2023
